architecture,comparison,d_precision,d_precision_lo,d_precision_hi,d_recall,d_recall_lo,d_recall_hi,d_f1,d_f1_lo,d_f1_hi,p_one_sided_precision,p_one_sided_recall,p_one_sided_f1,sig_f1
CAML,ER - Original,0.08799372481876469,0.07685072113106582,0.09830290041045711,-0.05888325332031212,-0.06802557797929792,-0.04974797946147489,0.008798723246601742,0.0002535822982381351,0.017243182332123914,0.0,1.0,0.0215,1
CAML,EV - Original,0.10366579551167612,0.09305024363730915,0.11457697068816089,-0.03468361763130879,-0.04340684222218422,-0.025858399747042505,0.029973314118480643,0.0217230672473981,0.038471847808656555,0.0,1.0,0.0,1
CNN,ER - Original,0.06853211621549363,0.03781327219525975,0.1044430315485396,-0.07271645131901155,-0.07990468808376532,-0.06587185029729468,0.0013252906723055125,-0.011781697587469022,0.012643260458255893,0.0,1.0,0.408,0
CNN,EV - Original,0.08677394033595288,0.05429785056318305,0.12038015412124999,-0.04545556374549577,-0.05162556514905254,-0.03916545171157458,0.024938438985571094,0.015866431089681214,0.034931276739775384,0.0,1.0,0.0,1
LAAT,ER - Original,0.09572575294317519,0.08303509593009067,0.10935509357558822,-0.013766406548292294,-0.022628069985805233,-0.005176116163717045,0.03406368843033282,0.02570989495710643,0.042615151746487716,0.0,0.999,0.0,1
LAAT,EV - Original,0.09192277458681403,0.07950853961961411,0.10444553245188364,-0.03901853516198227,-0.047055050496680274,-0.031144270116896446,0.016342781848436055,0.00829634203412546,0.024451983832314773,0.0,1.0,0.0005,1
MultiResCNN,ER - Original,0.16874643770078737,0.1542386707319381,0.1827453181297238,-0.060787796900328074,-0.06899098584998062,-0.05280205083149545,0.023863169832675675,0.015167973268267148,0.032099197948371024,0.0,1.0,0.0,1
MultiResCNN,EV - Original,0.16178531584339176,0.15188456170583578,0.1721603931050997,-0.00907066307026311,-0.016551477297908384,-0.0014306530286050767,0.060662484586604226,0.05354374178079259,0.06813890579232887,0.0,0.9915,0.0,1
RNN,ER - Original,0.08882061262011402,0.07877302049016506,0.09940307043921687,-0.047089170417413985,-0.05403457210837938,-0.03985508884268608,0.007182920885555371,0.00025693493277164785,0.0144474022662835,0.0,1.0,0.023,1
RNN,EV - Original,0.11197777420715081,0.10066691313146113,0.12333382251343196,-0.02704734452757587,-0.03447486979741841,-0.019425298551422134,0.029111670134326355,0.021677013593631864,0.03688569069689255,0.0,1.0,0.0,1
