architecture,trained_on,folder,threshold,precision,precision_lo,precision_hi,recall,recall_lo,recall_hi,f1_micro,f1_lo,f1_hi
CAML,ER,b1tl66nj,0.28,0.476530929437364,0.46399301355164874,0.4896527020649451,0.36975397973950797,0.35841681056655306,0.3808551837495671,0.41640635610484855,0.40621108407296935,0.42717836485938854
CAML,EV,05cvm0pf,0.28,0.4921615917998191,0.47973333009756125,0.5056284412993536,0.3937530149541727,0.38212151615643564,0.40551885067518145,0.4374916253517352,0.42660550197416,0.448394359921559
CAML,Original,p9hj5xe1,0.24000000000000002,0.38847583643122674,0.3781220541569187,0.399540229032643,0.42848528702363725,0.416918985422811,0.4406641116486078,0.40750086019038884,0.3977846124476153,0.41781648338171956
CNN,ER,mlpgnhsf,0.38,0.25427350427350426,0.18917427630493752,0.3330804605272999,0.20091654606849976,0.19091982591400367,0.21066868147297366,0.22446779843707898,0.1942528485660659,0.252738372443068
CNN,EV,qj24zl5u,0.34,0.2716049382716049,0.20068343277569278,0.3533672098606886,0.22817173178967678,0.21795316762113837,0.23782089304752213,0.24800104863022676,0.21307426841133117,0.2785744370141368
CNN,Original,o91zacs0,0.28,0.187986743993372,0.147651361923108,0.23958420383774434,0.27363724071394113,0.2624847300006891,0.2851519724070175,0.22286612317061194,0.19181437851982533,0.25602810458025616
LAAT,ER,5rj0tg1v,0.31,0.5158203426454699,0.5016925317103353,0.5292456095931746,0.4030390738060782,0.3912343363542915,0.4152656653647364,0.4525082932773678,0.4410479602389848,0.463803426666958
LAAT,EV,kqo0vsqc,0.34,0.5120915032679738,0.49794615882904686,0.5277019821787036,0.37795465508924264,0.36565642092835743,0.38996040406168786,0.4349153483208437,0.4226978775818464,0.44720565099653853
LAAT,Original,8i9s77f0,0.32,0.42020177464446334,0.40608241174297594,0.4343659617493568,0.4169078630004824,0.40480171296214895,0.4286921189318656,0.41854833827713545,0.4068423697566344,0.4301525664482859
MultiResCNN,ER,974v2pcx,0.33,0.5357366117941238,0.5173532483446706,0.5527638116780202,0.3100578871201158,0.2982598009631514,0.3217260235848799,0.3927889389657016,0.3809205634626179,0.40510103614608184
MultiResCNN,EV,xxl6md4r,0.37,0.5286545582789631,0.5141113976264595,0.5429447432266982,0.3615533043897733,0.34948947552300713,0.37269628300817015,0.4294206116164148,0.4175873729202693,0.44085055385933547
MultiResCNN,Original,yz8bpcmd,0.22,0.3669133444736214,0.3559060255884938,0.3776226020646184,0.37071876507477086,0.3588612333608224,0.38327265213324124,0.36880623875224955,0.35836690134094396,0.3792449893680233
RNN,ER,rmxrgnnu,0.18000000000000002,0.3583847448121144,0.3452575868942609,0.3717210518382277,0.23118668596237338,0.2200662945136529,0.24208142814924807,0.28106443809104903,0.2696040438520396,0.29215609205779447
RNN,EV,lrjwycyo,0.21000000000000002,0.3813186813186813,0.36698811505317275,0.3955952308181329,0.25108538350217074,0.24017985580710347,0.26164913196764994,0.30279232111692844,0.29137180443466687,0.31410481226931986
RNN,Original,9fd18hoi,0.17,0.2694778647354281,0.2593852453030184,0.27898734661237,0.2782199710564399,0.2671747242098345,0.2888429296465164,0.27377914911291756,0.26377612960297725,0.28336195032593053
